#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:33.76 aq:16.74 tex:5479 mv:4767 misc:138 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:33.75 aq:28.27 tex:52604 mv:3712 misc:2748 imb:862 pmb:186 smb:2552 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:33.75 aq:30.26 tex:9728 mv:2783 misc:2361 imb:14 pmb:703 smb:2883 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:33.75 aq:31.73 tex:2712 mv:488 misc:1400 imb:1 pmb:268 smb:3331 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:33.75 aq:29.55 tex:4102 mv:4162 misc:1744 imb:41 pmb:397 smb:3162 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:33.56 aq:27.71 tex:99145 mv:13789 misc:2882 imb:1296 pmb:808 smb:1496 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:33.66 aq:29.51 tex:14337 mv:9648 misc:2919 imb:128 pmb:963 smb:2509 d:t ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:33.71 aq:29.85 tex:4288 mv:4791 misc:2073 imb:41 pmb:490 smb:3069 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:33.61 aq:30.09 tex:4684 mv:7771 misc:2393 imb:65 pmb:636 smb:2899 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:33.67 aq:27.54 tex:126528 mv:20247 misc:2577 imb:1254 pmb:1392 smb:954 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:33.62 aq:30.47 tex:20315 mv:12481 misc:3204 imb:121 pmb:1118 smb:2361 d:t ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:33.59 aq:30.87 tex:5969 mv:6655 misc:2464 imb:64 pmb:630 smb:2906 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:33.65 aq:31.57 tex:7356 mv:9527 misc:2773 imb:72 pmb:774 smb:2754 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:33.98 aq:28.69 tex:145435 mv:23971 misc:2082 imb:1151 pmb:1736 smb:713 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:33.82 aq:30.57 tex:27374 mv:14498 misc:3368 imb:154 pmb:1264 smb:2182 d:t ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:33.75 aq:32.67 tex:9048 mv:7205 misc:2627 imb:43 pmb:727 smb:2830 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:33.90 aq:33.21 tex:10673 mv:10815 misc:2800 imb:44 pmb:877 smb:2679 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:34.40 aq:29.36 tex:154503 mv:26670 misc:1899 imb:1042 pmb:1981 smb:577 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:34.19 aq:32.20 tex:31319 mv:15283 misc:3302 imb:134 pmb:1288 smb:2178 d:t ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:34.08 aq:33.76 tex:11000 mv:8193 misc:2623 imb:50 pmb:753 smb:2797 d:s ref:0 ;
